Project;Avg. Elements;Inconsistency;Context Element;[Time (ms)] Load/Calculate Revision;[Time (ms)] Recognition Time;[Time (ms)] Complement Matching;Complements (Repairs);Historically Observable Repairs (HOR);Historically Observable Undos (HOU);Ranking of Best HOR;Unbound Parameters of Best HOR
atl;623;AContainmentReferenceOfATypeWithAContainerFeaturethatRequiresInstancesToBeContainedElsewhereCannotBePopulated;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0004_2005-11-16T14-19-57Z_4626d428711731da4805b053bfbfb2b1c9d557ad/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T161t6tEei97MD7GK1RmA;13;12366;996;119;true;false;0;0
atl;623;AContainerReferenceMustHaveUpperBoundOfNot;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0002_2005-01-27T16-09-40Z_c6402cb299429cb8cacfb73c690a5a7d9f477669/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T16XN6tEei97MD7GK1RmA;16;313;13;7;true;false;0;0
atl;623;AContainerReferenceMustHaveUpperBoundOfNot;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0003_2005-09-15T12-12-30Z_3f070c5c26f8af16df4a6bd83ce23b1c3c938a41/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T16wN6tEei97MD7GK1RmA;16;370;15;3;false;true;0;1
atl;623;AContainerReferenceMustHaveUpperBoundOfNot;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0003_2005-09-15T12-12-30Z_3f070c5c26f8af16df4a6bd83ce23b1c3c938a41/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T16vd6tEei97MD7GK1RmA;16;499;19;3;false;true;0;1
atl;623;AContainerReferenceMustHaveUpperBoundOfNot;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0003_2005-09-15T12-12-30Z_3f070c5c26f8af16df4a6bd83ce23b1c3c938a41/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T16ud6tEei97MD7GK1RmA;16;339;14;3;false;true;0;1
atl;623;AContainerReferenceMustHaveUpperBoundOfNot;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0003_2005-09-15T12-12-30Z_3f070c5c26f8af16df4a6bd83ce23b1c3c938a41/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T16wd6tEei97MD7GK1RmA;16;605;20;3;false;true;0;1
atl;623;TheDefaultValueLiteralMustBeAValidLiteralOfTheAttributesType;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/plugins_org.eclipse.m2m.atl.emftvm_model_emftvm.ecore/0025_2013-05-24T21-48-54Z_efeb4feb82e2cdc754b0268077b360284bfd129a/plugins_org.eclipse.m2m.atl.emftvm_model_emftvm.ecore#_5WZf0N6tEei97MD7GK1RmA;238;21;9;152;true;false;1;1
atl;623;TheDefaultValueLiteralMustBeAValidLiteralOfTheAttributesType;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/plugins_org.eclipse.m2m.atl.emftvm_model_emftvm.ecore/0025_2013-05-24T21-48-54Z_efeb4feb82e2cdc754b0268077b360284bfd129a/plugins_org.eclipse.m2m.atl.emftvm_model_emftvm.ecore#_g2HLf96uEei97MD7GK1RmA;263;2;6;2;true;false;1;1
birt;381;ThereMayNotBeTwoFeaturesNamed;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/birt/chart_org.eclipse.birt.chart.engine_src_model_org.eclipse.birt.chart.model.type.ecore/0109_2011-11-25T02-40-10Z_697fc818c423f4a9a7fbfe544c6c70fd2895e03a_coevolution_2013-01-06T15-24-18Z/chart_org.eclipse.birt.chart.engine_src_model_org.eclipse.birt.chart.model.type.ecore#_HqyAC96tEei97MD7GK1RmA;2538;2;3;2;false;true;0;1
bpmn2;3297;TheDefaultValueLiteralMustBeAValidLiteralOfTheAttributesType;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mdt.bpmn2/org.eclipse.bpmn2_model_BPMN20.ecore/0023_2011-05-09T16-48-31Z_b49a7a3b6e493d4741690ba9e750069eb3cb1e8c_coevolution_2011-05-12T23-40-49Z/org.eclipse.bpmn2_model_BPMN20.ecore#_c651Rt6tEei97MD7GK1RmA;1743;5;10;13;true;false;0;1
buckminster;340;ThereMayNotBeTwoClassifiersNamed;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/tools.buckminster/org.eclipse.buckminster.rmap_model_rmap.ecore/0003_2010-06-14T10-47-45Z_562e0759f5aced1e31297980f585bd821337000b_coevolution_2010-08-24T18-16-19Z/org.eclipse.buckminster.rmap_model_rmap.ecore#_nTTBgN60Eei97MD7GK1RmA;292;0;0;2;false;true;0;1
buckminster;340;TheRequiredFeatureOfMustBeSet;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/tools.buckminster/org.eclipse.buckminster.rmap_model_rmap.ecore/0003_2010-06-14T10-47-45Z_562e0759f5aced1e31297980f585bd821337000b_coevolution_2010-08-24T18-16-19Z/org.eclipse.buckminster.rmap_model_rmap.ecore#_nT1OEd60Eei97MD7GK1RmA;297;10;187;8;false;true;0;1
buckminster;340;TheTypedElementMustHaveAType;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/tools.buckminster/org.eclipse.buckminster.rmap_model_rmap.ecore/0003_2010-06-14T10-47-45Z_562e0759f5aced1e31297980f585bd821337000b_coevolution_2010-08-24T18-16-19Z/org.eclipse.buckminster.rmap_model_rmap.ecore#_nT1OEd60Eei97MD7GK1RmA;301;5;147;8;false;true;0;1
buckminster;340;TheRequiredFeatureOfMustBeSet;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/tools.buckminster/org.eclipse.buckminster.rmap_model_rmap.ecore/0003_2010-06-14T10-47-45Z_562e0759f5aced1e31297980f585bd821337000b_coevolution_2010-08-24T18-16-19Z/org.eclipse.buckminster.rmap_model_rmap.ecore#_nT1OEt60Eei97MD7GK1RmA;282;11;144;8;false;true;0;1
buckminster;340;TheTypedElementMustHaveAType;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/tools.buckminster/org.eclipse.buckminster.rmap_model_rmap.ecore/0003_2010-06-14T10-47-45Z_562e0759f5aced1e31297980f585bd821337000b_coevolution_2010-08-24T18-16-19Z/org.eclipse.buckminster.rmap_model_rmap.ecore#_nT1OEt60Eei97MD7GK1RmA;278;7;144;8;false;true;0;1
buckminster;340;TheAttributeIsNotTransientSoItMustHaveADataTypeThatIsSerializable;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/tools.buckminster/org.eclipse.buckminster.rmap_model_rmap.ecore/0003_2010-06-14T10-47-45Z_562e0759f5aced1e31297980f585bd821337000b_coevolution_2010-08-24T18-16-19Z/org.eclipse.buckminster.rmap_model_rmap.ecore#_nT1OL960Eei97MD7GK1RmA;282;8;3;3;false;true;0;0
buckminster;340;TheAttributeIsNotTransientSoItMustHaveADataTypeThatIsSerializable;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/tools.buckminster/org.eclipse.buckminster.rmap_model_rmap.ecore/0003_2010-06-14T10-47-45Z_562e0759f5aced1e31297980f585bd821337000b_coevolution_2010-08-24T18-16-19Z/org.eclipse.buckminster.rmap_model_rmap.ecore#_nT1ONt60Eei97MD7GK1RmA;276;6;4;3;false;true;0;0
buckminster;340;TheGenericTypeAssociatedWithTheClassifierShouldHaveTypeArgumentsToMatchTheNumberOfTypeParametersOfTheClassifier;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/tools.buckminster/org.eclipse.buckminster.rmap_model_rmap.ecore/0003_2010-06-14T10-47-45Z_562e0759f5aced1e31297980f585bd821337000b_coevolution_2010-08-24T18-16-19Z/org.eclipse.buckminster.rmap_model_rmap.ecore#//ProviderMatch/matcherMap/@eGenericType;286;10;2;3;false;true;0;2
cbi;597;TheDefaultValueLiteralMustBeAValidLiteralOfTheAttributesType;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/technology.cbi/org.eclipse.b3.aggregator_model_Aggregator.ecore/0056_2013-03-13T07-37-20Z_d796e6ff62d8ea54936a4234765a81946367c475/org.eclipse.b3.aggregator_model_Aggregator.ecore#_XTVidd6wEei97MD7GK1RmA;861;84;3;10;true;false;0;1
cbi;597;TheDefaultValueLiteralMustBeAValidLiteralOfTheAttributesType;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/technology.cbi/org.eclipse.b3.aggregator_model_Aggregator.ecore/0056_2013-03-13T07-37-20Z_d796e6ff62d8ea54936a4234765a81946367c475/org.eclipse.b3.aggregator_model_Aggregator.ecore#_XTVjld6wEei97MD7GK1RmA;782;95;4;19;true;false;0;1
